NUM_SERVERS;NUM_CLIENTS;NUM_CANDS;THRESHOLD;BIT_LENGTH;Use_Elliptic_Curve;t_setup;t_gen_ballots;t_make_clients;t_encrypt_ballots;t_send_ballots;time_mixing;time_verifying_proofs;t_pool_shares;t_decrypt;t_tally;time_total
25;20;3;13;3072;False;0.024890422821044922;0.00036907196044921875;1.3113021850585938e-05;1.0905165672302246;1.0728836059570312e-05;1.1920928955078125e-06;2.86102294921875e-06;6.4373016357421875e-06;12.8278169631958;3.933906555175781e-05;13.94368863105774
26;20;3;14;3072;False;0.026707172393798828;0.00038361549377441406;1.3113021850585938e-05;1.106398344039917;1.2874603271484375e-05;1.430511474609375e-06;2.86102294921875e-06;6.4373016357421875e-06;13.650056600570679;4.291534423828125e-05;14.783650398254395
27;20;3;14;3072;False;0.027361392974853516;0.0004658699035644531;2.002716064453125e-05;1.1069450378417969;1.3589859008789062e-05;1.1920928955078125e-06;2.6226043701171875e-06;7.62939453125e-06;14.131282091140747;3.838539123535156e-05;15.26616096496582
28;20;3;15;3072;False;0.028682470321655273;0.0003726482391357422;1.3113021850585938e-05;1.0927979946136475;1.1205673217773438e-05;1.430511474609375e-06;1.9073486328125e-06;5.7220458984375e-06;14.368200063705444;3.814697265625e-05;15.490148782730103
29;20;3;15;3072;False;0.029564380645751953;0.0003986358642578125;1.7642974853515625e-05;1.0945513248443604;1.1920928955078125e-05;1.1920928955078125e-06;2.384185791015625e-06;7.152557373046875e-06;14.79893445968628;5.698204040527344e-05;15.923570156097412
30;20;3;16;3072;False;0.03179645538330078;0.0003590583801269531;1.5974044799804688e-05;1.0877866744995117;1.4066696166992188e-05;1.6689300537109375e-06;2.1457672119140625e-06;7.152557373046875e-06;15.596334457397461;5.698204040527344e-05;16.71640133857727
31;20;3;16;3072;False;0.03235197067260742;0.0004439353942871094;1.5974044799804688e-05;1.0873768329620361;1.4781951904296875e-05;1.9073486328125e-06;3.5762786865234375e-06;7.152557373046875e-06;15.986970901489258;5.078315734863281e-05;17.10726499557495
32;20;3;17;3072;False;0.0355072021484375;0.0003764629364013672;1.5735626220703125e-05;1.0945792198181152;1.430511474609375e-05;7.152557373046875e-07;2.6226043701171875e-06;1.1205673217773438e-05;16.516184091567993;4.315376281738281e-05;17.6467604637146
33;20;3;17;3072;False;0.035657644271850586;0.00040340423583984375;1.3589859008789062e-05;1.0954501628875732;1.8835067749023438e-05;1.1920928955078125e-06;2.6226043701171875e-06;7.62939453125e-06;16.917191982269287;4.5299530029296875e-05;18.04882001876831
34;20;3;18;3072;False;0.03899693489074707;0.00038123130798339844;1.52587890625e-05;1.0939416885375977;1.2636184692382812e-05;1.1920928955078125e-06;2.384185791015625e-06;5.9604644775390625e-06;17.76301884651184;5.1975250244140625e-05;18.89645266532898
35;20;3;18;3072;False;0.0399622917175293;0.0003612041473388672;1.430511474609375e-05;1.098484992980957;1.4543533325195312e-05;1.430511474609375e-06;2.384185791015625e-06;8.106231689453125e-06;18.264102935791016;2.4318695068359375e-05;19.403003215789795
36;20;3;19;3072;False;0.04373598098754883;0.0005125999450683594;2.1219253540039062e-05;1.1009175777435303;1.2159347534179688e-05;9.5367431640625e-07;2.1457672119140625e-06;5.7220458984375e-06;18.649407148361206;4.124641418457031e-05;19.794681549072266
